# mesh name: pdd1D
# primitive scorer name: pddDose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,0.000909524319197325,8.339684220121609e-12,129900
0,0,1,0.0009192995037031254,8.79807602078423e-12,129562
0,0,2,0.0009269548917952074,9.045109037522482e-12,129785
0,0,3,0.000936923790404515,9.31503814445113e-12,130357
0,0,4,0.0009402663916900198,9.390644849837511e-12,130850
0,0,5,0.0009452420696431176,9.433441796193247e-12,131512
0,0,6,0.0009539884524631967,9.678909576071282e-12,131651
0,0,7,0.0009524528584414479,9.652854340071301e-12,131982
0,0,8,0.0009526711661286592,9.670678818184611e-12,132183
0,0,9,0.0009543764955210208,9.670323494515169e-12,132500
0,0,10,0.0009595756546976275,9.792346085087235e-12,133114
0,0,11,0.000966156126658035,9.987969118010323e-12,133224
0,0,12,0.00096660596753631,9.943559642342325e-12,133349
0,0,13,0.0009684339957170746,1.00667736096709e-11,133444
0,0,14,0.0009714090557196024,1.016007014629383e-11,133388
0,0,15,0.0009720354924346046,1.020736710857862e-11,133340
0,0,16,0.0009757843723498726,1.028136141105066e-11,133674
0,0,17,0.0009834112409456113,1.05341636752143e-11,133898
0,0,18,0.0009805446992676792,1.047928653034296e-11,133586
0,0,19,0.000978814081475823,1.047380064617093e-11,133547
0,0,20,0.0009786964891717609,1.047618677380485e-11,133188
0,0,21,0.0009823009342533578,1.055870821212035e-11,133349
0,0,22,0.0009858380389860541,1.069898047158074e-11,133314
0,0,23,0.0009863414867298877,1.070772019612099e-11,133085
0,0,24,0.0009881548594961296,1.085402047267259e-11,132853
0,0,25,0.0009915686014224793,1.096954087939935e-11,132889
0,0,26,0.0009914113807832129,1.10316169391651e-11,132504
0,0,27,0.0009897726236515437,1.10221666561478e-11,132246
0,0,28,0.0009906334531380547,1.104855235406792e-11,132055
0,0,29,0.0009938050322789915,1.123205808201786e-11,131685
0,0,30,0.0009897847864227133,1.118452683114297e-11,131148
0,0,31,0.0009931014844818077,1.133597739442369e-11,130793
0,0,32,0.0009876828044464389,1.126708793217537e-11,130244
0,0,33,0.000989468210550329,1.140022415985767e-11,129798
0,0,34,0.000990113109934461,1.147838616657501e-11,129302
0,0,35,0.0009872736453890925,1.148374351577393e-11,128734
0,0,36,0.0009867957626524648,1.155640606281124e-11,128153
0,0,37,0.0009825820465259889,1.153669606980549e-11,127289
0,0,38,0.0009800314663017437,1.161967237349061e-11,126546
0,0,39,0.0009835756146983395,1.174691528352267e-11,126327
0,0,40,0.0009828275415853219,1.184328530513504e-11,125748
0,0,41,0.0009767575004502322,1.183164582347024e-11,124364
0,0,42,0.0009694568899922305,1.168635067663377e-11,123510
0,0,43,0.0009699141862847259,1.181570946836519e-11,122923
0,0,44,0.0009658677817376117,1.186207003293373e-11,121871
0,0,45,0.0009570478436531335,1.169392559135957e-11,120879
0,0,46,0.0009578756638562717,1.196254106107349e-11,119693
0,0,47,0.0009560588659858145,1.203490999174544e-11,118696
0,0,48,0.0009447905836498523,1.186906430499047e-11,117242
0,0,49,0.0009351479401258401,1.180750202722251e-11,115824
0,0,50,0.0009302902268443924,1.178697988695216e-11,114485
0,0,51,0.00092345027625887,1.184035657100089e-11,113175
0,0,52,0.0009151127930844588,1.183956629158266e-11,111439
0,0,53,0.0009019489623198123,1.172692130974441e-11,109734
0,0,54,0.0008885348330137807,1.154345203455016e-11,108097
0,0,55,0.000874906564705926,1.140246166229403e-11,105988
0,0,56,0.000862674756351029,1.131642055602584e-11,104452
0,0,57,0.0008530959032611322,1.131262947937538e-11,102525
0,0,58,0.0008379762152317812,1.107021560803137e-11,100411
0,0,59,0.0008265012708327928,1.10656159758755e-11,98391
0,0,60,0.0008102713026866833,1.090132364548828e-11,95983
0,0,61,0.0007923154482681488,1.064239098672012e-11,93919
0,0,62,0.0007732068178353012,1.047335115368107e-11,91420
0,0,63,0.0007600224746520829,1.032390588713186e-11,89512
0,0,64,0.0007378512656158398,1.004847026055186e-11,86718
0,0,65,0.0007166925794184478,9.777443720792894e-12,83976
0,0,66,0.0006918837690048125,9.475256962946559e-12,81062
0,0,67,0.0006740431043395251,9.406692070710223e-12,77998
0,0,68,0.0006499503553894162,8.989924720448895e-12,75183
0,0,69,0.0006313536282407067,8.792204559560724e-12,72743
0,0,70,0.0006135810862593824,8.67004435361841e-12,70193
0,0,71,0.0005900722017355891,8.296215440303636e-12,67558
0,0,72,0.0005698122390915978,8.082949225310572e-12,65039
0,0,73,0.0005492980219233168,7.888631561010405e-12,62214
0,0,74,0.0005239630809917539,7.440609719314199e-12,59465
0,0,75,0.0005010965007286511,7.171375343116846e-12,56815
0,0,76,0.0004805012225506358,6.914084194326249e-12,54034
0,0,77,0.0004615829566953986,6.729571786884281e-12,51480
0,0,78,0.0004343600117875755,6.321744342526259e-12,48442
0,0,79,0.0004109016748409077,5.940979381197261e-12,46110
0,0,80,0.0003868306942284764,5.599367150273219e-12,43254
0,0,81,0.0003674595696068396,5.384611101535694e-12,40831
0,0,82,0.000347175204723071,5.110339194699347e-12,38609
0,0,83,0.0003271735705723548,4.843468343987504e-12,36067
0,0,84,0.0003077780135906286,4.580780320308756e-12,33946
0,0,85,0.0002897051543099889,4.297967985177692e-12,31752
0,0,86,0.0002722452362205428,4.085089444897228e-12,29908
0,0,87,0.0002531563647933796,3.785631999787749e-12,27737
0,0,88,0.0002380975246504959,3.600012316049183e-12,25773
0,0,89,0.0002202067502525947,3.329016039574794e-12,23978
0,0,90,0.0002040704256044848,3.126910149704657e-12,22230
0,0,91,0.000190079451222128,2.902322993388169e-12,20500
0,0,92,0.0001740409540397963,2.646212797671392e-12,18855
0,0,93,0.0001600500638006141,2.434782041017213e-12,17324
0,0,94,0.0001454056207444135,2.189299197652969e-12,15852
0,0,95,0.0001353215265948599,2.103931161001118e-12,14517
0,0,96,0.00012315297458128,1.917318011921183e-12,13253
0,0,97,0.0001101926884513235,1.706004085911264e-12,11942
0,0,98,0.0001000019658855775,1.553762613861721e-12,10821
0,0,99,9.159866698924e-05,1.438021684843716e-12,9879
0,0,100,8.321034741212859e-05,1.284197120890544e-12,9013
0,0,101,7.578116777650727e-05,1.203270439842789e-12,8084
0,0,102,6.763671019146002e-05,1.085104752198373e-12,7289
0,0,103,6.056833809168677e-05,9.591795460723381e-13,6610
0,0,104,5.420137372931523e-05,8.488711450776648e-13,5968
0,0,105,4.727482773569319e-05,7.370945708916237e-13,5292
0,0,106,4.270519518592366e-05,6.672237051588264e-13,4728
0,0,107,3.739396801533193e-05,5.945959873018901e-13,4209
0,0,108,3.353061644573738e-05,5.239744540007582e-13,3763
0,0,109,2.92048920505121e-05,4.398249315673081e-13,3376
0,0,110,2.711181803791075e-05,4.424871686876937e-13,3065
0,0,111,2.416137097785881e-05,3.959536430343956e-13,2799
0,0,112,2.186694948466107e-05,3.466725761690501e-13,2527
0,0,113,1.939470439144317e-05,2.984556735947924e-13,2357
0,0,114,1.682793026303393e-05,2.593752042994455e-13,2098
0,0,115,1.486688969843187e-05,2.271281580111108e-13,1850
0,0,116,1.403458218643218e-05,2.195998504617848e-13,1709
0,0,117,1.232800865767201e-05,1.849665517470191e-13,1562
0,0,118,1.093380849147638e-05,1.581674439111741e-13,1487
0,0,119,9.97925504535247e-06,1.471986743883043e-13,1347
0,0,120,9.162239980149461e-06,1.395998393280568e-13,1298
0,0,121,8.963989198985753e-06,1.405322625306409e-13,1232
0,0,122,7.678879669778755e-06,1.160661405691068e-13,1071
0,0,123,6.52446817295046e-06,9.126851246355204e-14,982
0,0,124,6.094656068804238e-06,8.608015787083541e-14,928
0,0,125,6.07280286276764e-06,9.040172748873142e-14,933
0,0,126,5.678653174861958e-06,8.682663447239442e-14,876
0,0,127,5.353688743360489e-06,7.508447745654164e-14,843
0,0,128,5.134912272880318e-06,7.30611891570046e-14,843
0,0,129,4.850283300928137e-06,6.623440657977004e-14,793
0,0,130,5.083031640420379e-06,7.305980108832903e-14,798
0,0,131,4.586394730535494e-06,6.416008398986206e-14,734
0,0,132,3.922285957136773e-06,5.096077987442247e-14,723
0,0,133,3.770996202532572e-06,4.929765313620194e-14,686
0,0,134,3.826792487407064e-06,5.058904819171693e-14,682
0,0,135,3.905257237284555e-06,5.488666634696486e-14,670
0,0,136,3.932395318856537e-06,5.046602532086219e-14,697
0,0,137,3.614321978727662e-06,4.851635652362384e-14,642
0,0,138,3.717659040571804e-06,5.184557224280075e-14,661
0,0,139,3.614905236044458e-06,5.121224323270094e-14,613
0,0,140,3.702868188793378e-06,5.47577507091189e-14,634
0,0,141,3.693341795905325e-06,5.159405580689661e-14,625
0,0,142,3.488448786259005e-06,4.588504090942873e-14,634
0,0,143,3.471347948408402e-06,5.019321663408651e-14,591
0,0,144,3.472313464789714e-06,4.735177893648399e-14,584
0,0,145,3.223829041384008e-06,4.527466444733137e-14,567
0,0,146,3.040368676635053e-06,3.58597678568657e-14,594
0,0,147,3.384312542360049e-06,4.275813692560028e-14,569
0,0,148,3.251415006601988e-06,4.061567858395823e-14,565
0,0,149,3.489356840512364e-06,5.243755187832257e-14,588
0,0,150,3.463606051715245e-06,4.894601581535802e-14,557
0,0,151,3.170391461466018e-06,4.294949876989586e-14,547
0,0,152,3.299637047679746e-06,5.032049883285383e-14,543
0,0,153,3.050704587607022e-06,4.183132878882114e-14,532
0,0,154,2.933299018448296e-06,3.579423477974745e-14,502
0,0,155,2.91332850058971e-06,3.926708373086539e-14,486
